"id","text"
"selected blocks","blocchi selezionati"
"hide selected","nascondi selezionati"
"displays only selected","visualizza solo selezionati"
"site in maintenance","Sito in manutenzione"
"download the latest version from the internet","scarica l'ultima versione da internet"
"connection error","errore di connessione"
"cms seems to be updated to the latest version","Flatnux sembra essere aggiornato all'ultima versione disponibile"
"installed version","versione installata"
"latest version","ultima versione"
"surname","Cognome"
"section","sezione"
"back to","ritorna a"
"file deleted","file eliminato"
"the content has been deleted","il contenuto è stato eliminato"
"are you sure you want to delete this content?","Sei sicuro di volere eliminare questo contenuto?"
"page properties","proprietà della pagina"
"advanced settings","impostazioni avanzate"
"page like","pagina di tipo"
"administration tools","strumenti di amministrazione"
"confirm registration site","conferma registrazione al sito"
"registration has been completed","la registrazione è stata completata"
"to complete the registration click on the following link","per completare la registrazione segui il seguente link"
"registration confirmation","conferma registrazione"
"user already confirmed","utente già confermato"
"a new password will be generated and sent to your email address","verrà generata una nuova password e inviata al tuo indirizzo email"
"a new password will be sent to your e-mail address.","una nuova password è stata inviata al tuo indirizzo email."
"an email has been sent to your email address with instructions to recover your password","Una e-mail è stata inviata al tuo indirizzo di posta con le istruzioni per recuperare la tua password"
"this is the new password","questa è la nuova password"
"user list","elenco utenti"
"add a user","aggiungi un utente"
"enable","abilita"
"disable","disabilita"
"send email","invio mail"
"global settings","impostazioni generali"
"update / install","aggiorna / installa"
"users and groups","utenti e gruppi"
"conditions of registration users","condizioni di registrazione utenti"
"users fields","campi utente"
"utilities","utilità"
"look and feel","aspetto"
"user does not exist","utente non esistente"
"password recovery","recupero password"
"user login","accesso utente"
"the password has been sent to your email address, if you have not yet received it occurs in spam or repeat the procedure password recovery","la password è stata inviata al tuo indirizzo email, se non la hai ancora ricevuta verifica nello spam oppure ripeti la procedura di recupero password"
"to retrieve the password, please follow this link","per recuperare la password segui questo link"
"edit","modifica"
"view details","vedi dettagli"
"selected pages","pagine selezionate"
"displays anywhere","visualizza ovunque"
"displays only selected","visualizza solo le selezionate"
"hide only selected","nascondi solo le selezionate"
"block","blocco"
"visible into menu","visibile nel menu"
"permissions","permessi"
"edit structure","modifica struttura"
"edit xml","modifica xml"
"structure","struttura"
"currently loaded file","files attualmente caricati"
"the file already exists","il file esiste già"
"you may not do that","non puoi"
"not active users","utenti non attivati"
"administrators","amministratori"
"publication start date","data inizio pubblicazione"
"publication end date","data fine pubblicazione"
"size","dimensione"
"creation date","data creazione"
"created by","creata da"
"delete date","data cancellazione"
"overwritten by","sovrascritta da"
"old versions","vecchie versioni"
"disabled","disabilitato"
"list of blocks","elenco blocchi"
"new field","nuovo campo"
"load default","carica valori predefiniti"
"default control center theme","Tema preferito pannello di controllo"
"enable theme switch","abilita il visitatore a cambiare il tema"
"site subtitle","sottotitolo del sito"
"contents languages","lista lingue del sito"
"default theme","tema predefinito"
"site url","url del sito"
"site email address","indirizzo email del sito"
"logs email address","Indirizzo email per le notifiche"
"compress pages with gzip","Comprimi pagina con gzip"
"default section","Pagina predefinita"
"data folder","Cartella scrivibile che contiene i dati"
"time difference","fuso orario"
"show access key","Visualizza gli accesskey accanto al link"
"enable LOG email to administrator","Invia email di log all' amministratore"
"enable Apache mod_rewrite","Abilita mod_rewrite di Apache"
"links mode","metodo links"
"enable user registration","Abilita registrazione utenti"
"use email address as username","Utilizza l'indirizzo email come nome utente"
"registration by mail confirmation","Registrazione tramite email"
"enable captcha in login form","abilita captcha nel form di login"
"html editor","editor html"
"allows online administration","abilita amministrazione online"
"credits","crediti"
"enable cache","abilita cache"
"timezone","zona"
"create new theme","Crea un nuovo tema"
"starting theme",""
"server information","informazioni server"
"replace","sostituisci"
"type","tipo"
"images","immagini"
"of","di"
"add","aggiungi"
"folder is not wrietable","la cartella non è scrivibile"
"file successfully created","file creato con successo"
"folder successfully created","cartella creata con successo"
"error occurred while creating the folder","si è verificato un errore durante la creazione della cartella"
"folder is not wrietable","la cartella non è scrivibile"
"upload files from your device to the server","carica un file dal tuo dispositivo al server"
"choose a file from your device","scegli un file dal tuo dispositivo"
"loading in progress, please wait","caricamento in corso, si prega di attendere"
"file successfully created","file creato con successo"
"file was uploaded succesfully","il file è stato trasferito con successo"
"rename","rinomina"
"an error occurred","si è verificato un errore"
"allow modify to the following user groups","consenti di modificare ai seguenti gruppi"
"allow viewing only to these user groups","consenti di visualizzare la pagina solo ai seguenti gruppi"
"permissions based on user level","permessi basati su livello utente"
"if no group is selected, the content will be visible to everyone","se nessun gruppo è selezionato la pagina sarà visibile a tutti"
"if no group is selected, then only administrators can edit content","se nessun gruppo è selezionato il contenuto sarà modificabile solo agli amministratori"
"only registered users","solo utenti registrati al sito"
"visible to everyone","visibile a tutti"
"content permissions","livello utenti per visualizzazione contenuto"
"users with at least level 1","utenti con livello 1 o superiore"
"users with at least level 2","utenti con livello 2 o superiore"
"users with at least level 3","utenti con livello 3 o superiore"
"users with at least level 4","utenti con livello 4 o superiore"
"users with at least level 5","utenti con livello 5 o superiore"
"users with at least level 6","utenti con livello 6 o superiore"
"users with at least level 7","utenti con livello 7 o superiore"
"users with at least level 8","utenti con livello 8 o superiore"
"users with at least level 9","utenti con livello 9 o superiore"
"visible only by administrators","visibile solo agli amministratori"
"publication end date","data fine pubblicazione"
"publication status","stato pubblicazione"
"user level for viewing","livello utente per visualizzazione"
"causes the page to load one of the installed modules, for example, a login page will load the functionality to log in users","fa si che la pagina carichi al suo interno uno dei moduli installati, ad esempio una pagina di tipo login caricherà al suo interno il modulo contenente funzionalità per eseguire l'accesso degli utenti"
"if selected the page does not appear in the menus but will still be accessible via direct link","se selezionato la pagina non compare nei menu ma sarà comunque accessibile tramite link diretto"
"comma-separated page keywords to optimize indexing in search engines","parole chiave della pagina separate da virgola al fine di ottimizzare l'indicizzazione  nei motori di ricerca"
"parent page in the site map","nella mappa sito quale è la sua pagina genitore"
"visible","visibile"
"allow users to update value","permetti agli utenti di aggiornare il valore"
"show in user profile","mostra nel profilo utente"
"form default value","valore predefinito nel form"
"list of characters allowed","lista caratteri consentiti"
"form type","tipo di campo nel form"
"i18n translation","traduzione per internazionalizzazione"
"move","sposta"
"edit the pages and the structure of the website","modifica le pagine e la struttura del sito"
"actions","comando"
"unique name of the page, used to identify the page in a unique way","nome univoco della pagina, utilizzato per identificare la pagina in un modo unico"
"unique name","nome univoco"
"incorrect security code","Codice di sicurezza non valido"
"the system failed to send the confirmation email","il sistema ha riscontrato un errore nell'invio della mail di conferma"
"after registration, send a welcome message","a registrazione avvenuta invia messaggio di benvenuto"
"passwords do not match","le password non corrispondono"
"for password recovery change permit to change password online","per il recupero password consenti di cambiare la password online"
"to change the password, please follow this link","per cambiare la password segui questo link"
"change password","cambio password"
"new password","nuova password"
"enter a password","inserisci la password"
"the password has been successfully changed","la password è stata modificata correttamente"
"the password does not meet the requirements","la password non soddisfa i requisiti"
"results have been found","risultati trovati"
"resend the verification code","invia nuovamente il codice di verifica"
"the email address entered does not match any user","l'indirizzo email non è associato a nessun utente"
"error username or password","Utente o password non validi"
"show only enabled","visualizza solo abilitati"
"show only disabled","visualizza solo disabilitati"
"show administrators","visualizza amministratori"
"filter","filtro"
"remember me","ricordami"
"sign in","accedi"
"sign in to your account to continue","accedi al tuo account per continuare"
"enter your password","inserisci la tua password"
"new notifications","nuove notifiche"
"details","dettagli"
"the installation was completed","l'installazione è stata completata"
"error username or password","utente o password errati"
"create account","Crea account"
"view list","visualizza elenco"
"password required","Password richiesta"
"enter your password","Immetti la password"
"create new","crea nuovo"
"continue width","continua con"
